lr;epoch;iteration;global_iteration
4.219409282700422e-06;1;1;80
4.272151898734177e-06;1;2;81
4.324894514767933e-06;1;3;82
4.377637130801688e-06;1;4;83
4.430379746835443e-06;1;5;84
4.483122362869199e-06;1;6;85
4.535864978902954e-06;1;7;86
4.588607594936709e-06;1;8;87
4.641350210970465e-06;1;9;88
4.69409282700422e-06;1;10;89
4.746835443037975e-06;1;11;90
4.79957805907173e-06;1;12;91
4.852320675105485e-06;1;13;92
4.90506329113924e-06;1;14;93
4.957805907172996e-06;1;15;94
5.010548523206751e-06;1;16;95
5.063291139240506e-06;1;17;96
5.116033755274262e-06;1;18;97
5.168776371308017e-06;1;19;98
5.221518987341772e-06;1;20;99
5.274261603375528e-06;1;21;100
5.327004219409283e-06;1;22;101
5.379746835443038e-06;1;23;102
5.432489451476794e-06;1;24;103
5.485232067510549e-06;1;25;104
5.537974683544304e-06;1;26;105
5.590717299578059e-06;1;27;106
5.643459915611814e-06;1;28;107
5.69620253164557e-06;1;29;108
5.748945147679325e-06;1;30;109
5.80168776371308e-06;1;31;110
5.854430379746835e-06;1;32;111
5.907172995780591e-06;1;33;112
5.959915611814346e-06;1;34;113
6.012658227848101e-06;1;35;114
6.065400843881857e-06;1;36;115
6.118143459915612e-06;1;37;116
6.170886075949367e-06;1;38;117
6.223628691983123e-06;1;39;118
6.276371308016877e-06;1;40;119
6.329113924050633e-06;1;41;120
6.381856540084388e-06;1;42;121
6.434599156118144e-06;1;43;122
6.487341772151899e-06;1;44;123
6.540084388185655e-06;1;45;124
6.592827004219409e-06;1;46;125
6.6455696202531645e-06;1;47;126
6.69831223628692e-06;1;48;127
6.7510548523206746e-06;1;49;128
6.8037974683544305e-06;1;50;129
6.8565400843881855e-06;1;51;130
6.909282700421941e-06;1;52;131
6.9620253164556965e-06;1;53;132
7.014767932489452e-06;1;54;133
7.0675105485232066e-06;1;55;134
7.1202531645569625e-06;1;56;135
7.1729957805907175e-06;1;57;136
7.225738396624473e-06;1;58;137
7.2784810126582285e-06;1;59;138
7.331223628691984e-06;1;60;139
7.3839662447257386e-06;1;61;140
7.436708860759494e-06;1;62;141
7.4894514767932495e-06;1;63;142
7.542194092827004e-06;1;64;143
7.5949367088607605e-06;1;65;144
7.647679324894516e-06;1;66;145
7.700421940928271e-06;1;67;146
7.753164556962026e-06;1;68;147
7.805907172995782e-06;1;69;148
7.858649789029536e-06;1;70;149
7.911392405063292e-06;1;71;150
7.964135021097048e-06;1;72;151
8.016877637130803e-06;1;73;152
8.069620253164558e-06;1;74;153
8.122362869198312e-06;1;75;154
8.175105485232068e-06;1;76;155
8.227848101265822e-06;1;77;156
8.280590717299578e-06;1;78;157
8.333333333333334e-06;1;79;158
8.38607594936709e-06;2;1;159
8.438818565400844e-06;2;2;160
8.4915611814346e-06;2;3;161
8.544303797468354e-06;2;4;162
8.59704641350211e-06;2;5;163
8.649789029535866e-06;2;6;164
8.702531645569622e-06;2;7;165
8.755274261603376e-06;2;8;166
8.808016877637132e-06;2;9;167
8.860759493670886e-06;2;10;168
8.913502109704642e-06;2;11;169
8.966244725738398e-06;2;12;170
9.018987341772152e-06;2;13;171
9.071729957805908e-06;2;14;172
9.124472573839662e-06;2;15;173
9.177215189873418e-06;2;16;174
9.229957805907174e-06;2;17;175
9.28270042194093e-06;2;18;176
9.335443037974684e-06;2;19;177
9.38818565400844e-06;2;20;178
9.440928270042194e-06;2;21;179
9.49367088607595e-06;2;22;180
9.546413502109706e-06;2;23;181
9.59915611814346e-06;2;24;182
9.651898734177216e-06;2;25;183
9.70464135021097e-06;2;26;184
9.757383966244726e-06;2;27;185
9.81012658227848e-06;2;28;186
9.862869198312238e-06;2;29;187
9.915611814345992e-06;2;30;188
9.968354430379748e-06;2;31;189
1.0021097046413502e-05;2;32;190
1.0073839662447258e-05;2;33;191
1.0126582278481012e-05;2;34;192
1.0179324894514768e-05;2;35;193
1.0232067510548524e-05;2;36;194
1.028481012658228e-05;2;37;195
1.0337552742616034e-05;2;38;196
1.0390295358649788e-05;2;39;197
1.0443037974683544e-05;2;40;198
1.04957805907173e-05;2;41;199
1.0548523206751056e-05;2;42;200
1.060126582278481e-05;2;43;201
1.0654008438818566e-05;2;44;202
1.070675105485232e-05;2;45;203
1.0759493670886076e-05;2;46;204
1.0812236286919832e-05;2;47;205
1.0864978902953588e-05;2;48;206
1.0917721518987342e-05;2;49;207
1.0970464135021098e-05;2;50;208
1.1023206751054852e-05;2;51;209
1.1075949367088608e-05;2;52;210
1.1128691983122364e-05;2;53;211
1.1181434599156118e-05;2;54;212
1.1234177215189874e-05;2;55;213
1.1286919831223628e-05;2;56;214
1.1339662447257384e-05;2;57;215
1.139240506329114e-05;2;58;216
1.1445147679324896e-05;2;59;217
1.149789029535865e-05;2;60;218
1.1550632911392406e-05;2;61;219
1.160337552742616e-05;2;62;220
1.1656118143459916e-05;2;63;221
1.170886075949367e-05;2;64;222
1.1761603375527428e-05;2;65;223
1.1814345991561182e-05;2;66;224
1.1867088607594937e-05;2;67;225
1.1919831223628692e-05;2;68;226
1.1972573839662447e-05;2;69;227
1.2025316455696203e-05;2;70;228
1.2078059071729958e-05;2;71;229
