lr;epoch;iteration;global_iteration
7.861635220125787e-08;0;1;1
1.5723270440251575e-07;0;2;2
2.3584905660377358e-07;0;3;3
3.144654088050315e-07;0;4;4
3.9308176100628933e-07;0;5;5
4.7169811320754717e-07;0;6;6
5.50314465408805e-07;0;7;7
6.28930817610063e-07;0;8;8
7.075471698113208e-07;0;9;9
7.861635220125787e-07;0;10;10
8.647798742138365e-07;0;11;11
9.433962264150943e-07;0;12;12
1.0220125786163522e-06;0;13;13
1.10062893081761e-06;0;14;14
1.179245283018868e-06;0;15;15
1.257861635220126e-06;0;16;16
1.3364779874213838e-06;0;17;17
1.4150943396226415e-06;0;18;18
1.4937106918238995e-06;0;19;19
1.5723270440251573e-06;0;20;20
1.650943396226415e-06;0;21;21
1.729559748427673e-06;0;22;22
1.8081761006289309e-06;0;23;23
1.8867924528301887e-06;0;24;24
1.9654088050314464e-06;0;25;25
2.0440251572327044e-06;0;26;26
2.1226415094339624e-06;0;27;27
2.20125786163522e-06;0;28;28
2.279874213836478e-06;0;29;29
2.358490566037736e-06;0;30;30
2.437106918238994e-06;0;31;31
2.515723270440252e-06;0;32;32
2.5943396226415095e-06;0;33;33
2.6729559748427675e-06;0;34;34
2.7515723270440255e-06;0;35;35
2.830188679245283e-06;0;36;36
2.908805031446541e-06;0;37;37
2.987421383647799e-06;0;38;38
3.0660377358490567e-06;0;39;39
3.1446540880503146e-06;0;40;40
3.2232704402515726e-06;0;41;41
3.30188679245283e-06;0;42;42
3.380503144654088e-06;0;43;43
3.459119496855346e-06;0;44;44
3.5377358490566038e-06;0;45;45
3.6163522012578618e-06;0;46;46
3.6949685534591198e-06;0;47;47
3.7735849056603773e-06;0;48;48
3.852201257861635e-06;0;49;49
3.930817610062893e-06;0;50;50
4.009433962264151e-06;0;51;51
4.088050314465409e-06;0;52;52
4.166666666666667e-06;0;53;53
4.245283018867925e-06;1;1;54
4.323899371069182e-06;1;2;55
4.40251572327044e-06;1;3;56
4.481132075471698e-06;1;4;57
4.559748427672956e-06;1;5;58
4.638364779874214e-06;1;6;59
4.716981132075472e-06;1;7;60
4.79559748427673e-06;1;8;61
4.874213836477988e-06;1;9;62
4.952830188679246e-06;1;10;63
5.031446540880504e-06;1;11;64
5.110062893081761e-06;1;12;65
5.188679245283019e-06;1;13;66
5.267295597484277e-06;1;14;67
5.345911949685535e-06;1;15;68
5.424528301886793e-06;1;16;69
5.503144654088051e-06;1;17;70
5.581761006289308e-06;1;18;71
5.660377358490566e-06;1;19;72
5.738993710691824e-06;1;20;73
5.817610062893082e-06;1;21;74
5.89622641509434e-06;1;22;75
5.974842767295598e-06;1;23;76
6.053459119496855e-06;1;24;77
6.132075471698113e-06;1;25;78
6.210691823899371e-06;1;26;79
6.289308176100629e-06;1;27;80
6.367924528301887e-06;1;28;81
6.446540880503145e-06;1;29;82
6.5251572327044024e-06;1;30;83
6.60377358490566e-06;1;31;84
6.682389937106918e-06;1;32;85
6.761006289308176e-06;1;33;86
6.839622641509434e-06;1;34;87
6.918238993710692e-06;1;35;88
6.9968553459119495e-06;1;36;89
7.0754716981132075e-06;1;37;90
7.1540880503144655e-06;1;38;91
7.2327044025157235e-06;1;39;92
7.3113207547169815e-06;1;40;93
7.3899371069182395e-06;1;41;94
7.468553459119497e-06;1;42;95
7.547169811320755e-06;1;43;96
7.625786163522013e-06;1;44;97
7.70440251572327e-06;1;45;98
7.783018867924528e-06;1;46;99
7.861635220125786e-06;1;47;100
7.940251572327044e-06;1;48;101
8.018867924528302e-06;1;49;102
8.09748427672956e-06;1;50;103
