lr;epoch;iteration;global_iteration
1.1261261261261262e-07;0;1;1
2.2522522522522524e-07;0;2;2
3.378378378378379e-07;0;3;3
4.504504504504505e-07;0;4;4
5.630630630630631e-07;0;5;5
6.756756756756758e-07;0;6;6
7.882882882882882e-07;0;7;7
9.00900900900901e-07;0;8;8
1.0135135135135136e-06;0;9;9
1.1261261261261262e-06;0;10;10
1.2387387387387387e-06;0;11;11
1.3513513513513515e-06;0;12;12
1.463963963963964e-06;0;13;13
1.5765765765765764e-06;0;14;14
1.6891891891891894e-06;0;15;15
1.801801801801802e-06;0;16;16
1.9144144144144145e-06;0;17;17
2.0270270270270273e-06;0;18;18
2.1396396396396396e-06;0;19;19
2.2522522522522524e-06;0;20;20
2.364864864864865e-06;0;21;21
2.4774774774774775e-06;0;22;22
2.5900900900900902e-06;0;23;23
2.702702702702703e-06;0;24;24
2.8153153153153154e-06;0;25;25
2.927927927927928e-06;0;26;26
3.040540540540541e-06;0;27;27
3.153153153153153e-06;0;28;28
3.265765765765766e-06;0;29;29
3.3783783783783788e-06;0;30;30
3.4909909909909907e-06;0;31;31
3.603603603603604e-06;0;32;32
3.7162162162162166e-06;0;33;33
3.828828828828829e-06;0;34;34
3.941441441441441e-06;0;35;35
4.0540540540540545e-06;0;36;36
4.166666666666667e-06;0;37;37
4.279279279279279e-06;1;1;38
4.391891891891892e-06;1;2;39
4.504504504504505e-06;1;3;40
4.617117117117117e-06;1;4;41
4.72972972972973e-06;1;5;42
4.842342342342343e-06;1;6;43
4.954954954954955e-06;1;7;44
5.067567567567568e-06;1;8;45
5.1801801801801805e-06;1;9;46
5.292792792792793e-06;1;10;47
5.405405405405406e-06;1;11;48
5.518018018018018e-06;1;12;49
5.630630630630631e-06;1;13;50
5.743243243243244e-06;1;14;51
5.855855855855856e-06;1;15;52
5.968468468468469e-06;1;16;53
6.081081081081082e-06;1;17;54
6.193693693693694e-06;1;18;55
6.306306306306306e-06;1;19;56
6.418918918918919e-06;1;20;57
6.531531531531532e-06;1;21;58
6.644144144144144e-06;1;22;59
6.7567567567567575e-06;1;23;60
6.869369369369371e-06;1;24;61
6.981981981981981e-06;1;25;62
7.0945945945945946e-06;1;26;63
7.207207207207208e-06;1;27;64
7.31981981981982e-06;1;28;65
7.432432432432433e-06;1;29;66
7.545045045045046e-06;1;30;67
7.657657657657658e-06;1;31;68
7.77027027027027e-06;1;32;69
7.882882882882883e-06;1;33;70
7.995495495495497e-06;1;34;71
8.108108108108109e-06;1;35;72
8.220720720720721e-06;1;36;73
8.333333333333334e-06;1;37;74
