loss;epoch;iteration;global_iteration
6.224617958068848;0;1;1
6.661920547485352;0;2;2
6.3614702224731445;0;3;3
7.134240627288818;0;4;4
5.618727684020996;0;5;5
7.765079021453857;0;6;6
6.183596611022949;0;7;7
5.735407829284668;0;8;8
6.361349105834961;0;9;9
5.660262107849121;0;10;10
4.805421829223633;0;11;11
5.114605903625488;0;12;12
5.2006072998046875;0;13;13
5.571687698364258;0;14;14
5.523284912109375;0;15;15
5.186101913452148;0;16;16
5.886829376220703;0;17;17
6.355212211608887;0;18;18
4.723008155822754;0;19;19
4.527191638946533;0;20;20
4.694015026092529;0;21;21
4.90643310546875;0;22;22
5.25684118270874;0;23;23
5.793388843536377;0;24;24
5.521740913391113;0;25;25
7.3743896484375;0;26;26
4.614040851593018;0;27;27
5.386955261230469;0;28;28
4.6932783126831055;0;29;29
5.2116570472717285;0;30;30
4.680114269256592;0;31;31
4.256468772888184;0;32;32
5.317348003387451;0;33;33
4.463418483734131;0;34;34
6.009191513061523;0;35;35
6.250181198120117;0;36;36
4.328747749328613;0;37;37
5.4734015464782715;0;38;38
4.8529253005981445;0;39;39
5.364856243133545;0;40;40
5.165098667144775;0;41;41
5.547422409057617;0;42;42
4.441662788391113;0;43;43
5.5022969245910645;0;44;44
4.34147834777832;0;45;45
5.480954170227051;0;46;46
4.224829196929932;0;47;47
4.809165954589844;0;48;48
4.70728063583374;0;49;49
4.835702896118164;0;50;50
5.442200183868408;0;51;51
4.900120735168457;0;52;52
4.714103698730469;0;53;53
6.30120325088501;0;54;54
5.98050594329834;0;55;55
3.780208110809326;0;56;56
5.064969539642334;1;1;57
5.892208576202393;1;2;58
5.888031005859375;1;3;59
4.415221214294434;1;4;60
4.0618486404418945;1;5;61
6.827495098114014;1;6;62
5.278407573699951;1;7;63
5.012826919555664;1;8;64
5.208662986755371;1;9;65
4.620578765869141;1;10;66
5.501837730407715;1;11;67
4.445659160614014;1;12;68
4.706164836883545;1;13;69
4.43507194519043;1;14;70
5.993816375732422;1;15;71
5.3308539390563965;1;16;72
4.22078800201416;1;17;73
4.008505344390869;1;18;74
4.256141185760498;1;19;75
5.3148722648620605;1;20;76
4.515659332275391;1;21;77
4.645756244659424;1;22;78
5.8700456619262695;1;23;79
4.167995929718018;1;24;80
5.860841274261475;1;25;81
5.216853618621826;1;26;82
4.926220893859863;1;27;83
6.178874969482422;1;28;84
4.457798957824707;1;29;85
5.180282115936279;1;30;86
4.330484867095947;1;31;87
5.717982292175293;1;32;88
4.641158580780029;1;33;89
4.714630603790283;1;34;90
4.165862560272217;1;35;91
5.0011138916015625;1;36;92
6.076963901519775;1;37;93
5.128553867340088;1;38;94
5.489752769470215;1;39;95
4.982067108154297;1;40;96
4.652358531951904;1;41;97
3.737333297729492;1;42;98
5.273979187011719;1;43;99
4.3239545822143555;1;44;100
4.45800256729126;1;45;101
5.049308776855469;1;46;102
4.474822998046875;1;47;103
6.403020858764648;1;48;104
5.288706302642822;1;49;105
5.105998516082764;1;50;106
4.395198822021484;1;51;107
3.9010894298553467;1;52;108
5.813746929168701;1;53;109
4.441549301147461;1;54;110
4.694096088409424;1;55;111
5.526861667633057;1;56;112
4.216294765472412;2;1;113
5.397210597991943;2;2;114
4.031454086303711;2;3;115
4.3375420570373535;2;4;116
5.449821472167969;2;5;117
5.391154766082764;2;6;118
4.444927215576172;2;7;119
4.721746921539307;2;8;120
3.9293901920318604;2;9;121
6.274973392486572;2;10;122
5.067244529724121;2;11;123
4.633294582366943;2;12;124
6.148835182189941;2;13;125
5.823310375213623;2;14;126
4.7717180252075195;2;15;127
3.8586585521698;2;16;128
4.632485389709473;2;17;129
4.245560646057129;2;18;130
5.91018533706665;2;19;131
5.132822036743164;2;20;132
5.010600566864014;2;21;133
4.956272602081299;2;22;134
4.337378025054932;2;23;135
4.475199222564697;2;24;136
4.29376745223999;2;25;137
5.293185234069824;2;26;138
4.213292121887207;2;27;139
3.790743350982666;2;28;140
5.0645880699157715;2;29;141
4.721402645111084;2;30;142
5.429662704467773;2;31;143
4.610592842102051;2;32;144
4.1955180168151855;2;33;145
5.546050071716309;2;34;146
4.162883281707764;2;35;147
5.667186260223389;2;36;148
4.395270824432373;2;37;149
4.283037185668945;2;38;150
5.332561492919922;2;39;151
5.079315185546875;2;40;152
5.760584831237793;2;41;153
4.076902866363525;2;42;154
4.551688194274902;2;43;155
6.2112321853637695;2;44;156
4.934258937835693;2;45;157
5.855285167694092;2;46;158
4.894280433654785;2;47;159
5.1479172706604;2;48;160
5.356301307678223;2;49;161
4.7256574630737305;2;50;162
4.926770210266113;2;51;163
4.691386699676514;2;52;164
5.574355125427246;2;53;165
4.177300930023193;2;54;166
4.22162389755249;2;55;167
5.15598726272583;2;56;168
4.434115886688232;3;1;169
4.548834800720215;3;2;170
4.249634742736816;3;3;171
4.612021446228027;3;4;172
6.031800270080566;3;5;173
4.052355766296387;3;6;174
5.240949630737305;3;7;175
5.456020832061768;3;8;176
5.030669689178467;3;9;177
4.174699306488037;3;10;178
4.834745407104492;3;11;179
4.214105129241943;3;12;180
5.553903579711914;3;13;181
4.689335346221924;3;14;182
4.132209300994873;3;15;183
6.503302574157715;3;16;184
4.4758758544921875;3;17;185
4.774519920349121;3;18;186
5.1903157234191895;3;19;187
4.313377857208252;3;20;188
4.660661697387695;3;21;189
5.127030849456787;3;22;190
6.150590419769287;3;23;191
4.182662010192871;3;24;192
6.063591957092285;3;25;193
4.606922626495361;3;26;194
4.9636359214782715;3;27;195
6.423315525054932;3;28;196
4.906647682189941;3;29;197
4.030738830566406;3;30;198
4.63844633102417;3;31;199
5.081491470336914;3;32;200
6.142111778259277;3;33;201
4.115341663360596;3;34;202
5.7669758796691895;3;35;203
5.059193134307861;3;36;204
4.863174915313721;3;37;205
4.573995113372803;3;38;206
5.213529586791992;3;39;207
4.821434497833252;3;40;208
5.3778839111328125;3;41;209
5.2511396408081055;3;42;210
4.086315155029297;3;43;211
5.0795769691467285;3;44;212
5.159783363342285;3;45;213
5.213265419006348;3;46;214
4.6214165687561035;3;47;215
4.760101318359375;3;48;216
5.508328914642334;3;49;217
5.155982971191406;3;50;218
4.9252400398254395;3;51;219
4.140326976776123;3;52;220
5.16648530960083;3;53;221
4.889939308166504;3;54;222
4.586540699005127;3;55;223
4.633590221405029;3;56;224
4.679195404052734;4;1;225
3.849334955215454;4;2;226
4.387279510498047;4;3;227
5.294406414031982;4;4;228
4.200988292694092;4;5;229
4.407120227813721;4;6;230
4.43394136428833;4;7;231
5.332982063293457;4;8;232
6.457355976104736;4;9;233
4.927583694458008;4;10;234
6.9055657386779785;4;11;235
4.402285099029541;4;12;236
6.159702301025391;4;13;237
4.968538761138916;4;14;238
5.187427997589111;4;15;239
5.440456390380859;4;16;240
5.356686115264893;4;17;241
4.520686626434326;4;18;242
5.2287092208862305;4;19;243
4.547320365905762;4;20;244
4.37807559967041;4;21;245
5.099885940551758;4;22;246
4.302735328674316;4;23;247
5.2490644454956055;4;24;248
3.668195962905884;4;25;249
5.003183364868164;4;26;250
4.8784661293029785;4;27;251
6.525947570800781;4;28;252
5.185792922973633;4;29;253
4.517972946166992;4;30;254
3.9254400730133057;4;31;255
4.279454231262207;4;32;256
5.340146064758301;4;33;257
4.4774885177612305;4;34;258
4.3237457275390625;4;35;259
4.1573710441589355;4;36;260
4.858416557312012;4;37;261
4.971976280212402;4;38;262
4.174078464508057;4;39;263
6.499884128570557;4;40;264
4.5097527503967285;4;41;265
4.2387776374816895;4;42;266
5.933457374572754;4;43;267
4.828823089599609;4;44;268
4.334116458892822;4;45;269
4.046998977661133;4;46;270
4.731276988983154;4;47;271
4.410241603851318;4;48;272
5.260945796966553;4;49;273
4.8092756271362305;4;50;274
4.877213001251221;4;51;275
4.713145732879639;4;52;276
4.767930507659912;4;53;277
4.559940338134766;4;54;278
4.748011112213135;4;55;279
5.194250106811523;4;56;280
